Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,193.25,193.440002,183.800003,184.570007,2119400,183.296131
2016-06-30,184.820007,193.270004,184.309998,193.220001,2497500,191.886424
2016-06-29,175.00,183.889999,172.449997,181.479996,1698900,180.227446
2016-06-28,168.720001,173.240005,168.720001,173.00,709200,171.805978
2016-06-27,170.490005,171.00,165.449997,166.660004,1069200,165.50974
2016-06-24,165.440002,173.600006,165.149994,172.089996,1193000,170.902255
2016-06-23,169.600006,172.990005,167.820007,172.910004,805600,171.716603
2016-06-22,166.610001,169.270004,165.020004,167.529999,851500,166.37373
2016-06-21,165.410004,167.240005,164.729996,165.770004,743500,164.625883
2016-06-20,166.339996,167.389999,163.630005,164.940002,777400,163.80161
2016-06-17,164.210007,165.75,161.320007,163.110001,862400,161.984238
2016-06-16,163.50,165.850006,162.509995,165.279999,1163800,164.139259
2016-06-15,164.779999,165.339996,162.940002,164.300003,881800,163.166027
2016-06-14,162.759995,165.449997,162.089996,164.460007,769900,163.324927
2016-06-13,161.00,166.149994,161.00,163.210007,1189900,162.083554
2016-06-10,169.059998,169.470001,161.449997,161.979996,2280300,160.862032
2016-06-09,173.509995,174.619995,169.470001,171.479996,1128500,170.296465
2016-06-08,174.679993,175.919998,173.270004,174.820007,1432700,173.613424
2016-06-07,173.770004,177.289993,172.490005,174.809998,1450900,173.603483
2016-06-06,175.800003,175.979996,173.009995,174.520004,1031800,173.315492
2016-06-03,173.910004,177.529999,173.600006,175.559998,1143700,174.348307
2016-06-02,175.729996,176.940002,172.729996,173.600006,1168000,172.401843
2016-06-01,176.009995,177.320007,172.610001,176.160004,1567400,174.944172
2016-05-31,176.929993,179.100006,175.339996,177.839996,6938400,176.61257
2016-05-27,177.490005,177.869995,173.300003,175.789993,1434000,174.576715
2016-05-26,173.009995,177.029999,172.00,176.830002,1149900,175.609546
2016-05-25,176.059998,176.059998,171.009995,173.00,1157800,171.805978
2016-05-24,166.070007,174.130005,165.020004,174.00,1824800,172.799076
2016-05-23,166.009995,167.660004,163.960007,164.199997,604900,163.066712
2016-05-20,162.490005,168.869995,162.490005,166.809998,1224000,164.93374
2016-05-19,162.809998,164.470001,158.929993,161.229996,1050000,159.416501
2016-05-18,163.770004,164.470001,160.160004,163.559998,1422900,161.720295
2016-05-17,161.460007,166.679993,160.410004,163.490005,1578300,161.651091
2016-05-16,155.520004,163.139999,155.149994,161.619995,1848400,159.802114
2016-05-13,146.729996,154.320007,146.559998,153.399994,2329800,151.67457
2016-05-12,149.160004,150.00,139.570007,145.800003,3372600,144.160063
2016-05-11,143.559998,148.199997,141.820007,145.169998,1814700,143.537144
2016-05-10,139.00,144.119995,138.229996,143.399994,1044000,141.787049
2016-05-09,139.50,140.839996,138.089996,138.960007,858100,137.397002
2016-05-06,139.960007,141.779999,137.50,140.309998,974200,138.731808
2016-05-05,140.039993,142.50,139.589996,140.479996,937600,138.899895
2016-05-04,136.850006,140.610001,136.850006,139.490005,898900,137.92104
